pole_id,final_risk,risk_grade,ml_fire_prob_max,cascade_risk,terrain_fire_risk
684447,32.48195863497477,Low,0.00026831485780047623,21.400000000000002,10.380570373535157
237245,32.48181705832919,Low,0.0039750397919610155,28.200000000000003,71.35843852996827
197864,32.48163086691872,Low,0.003157312335159575,40.800000000000004,72.41267570495606
1170818,32.48145759879188,Low,0.0049723221882171445,15.600000000000001,8.304819030761719
348201,32.481437339347806,Low,0.004236943828422054,7.800000000000001,72.10876960754395
691063,32.4811416461298,Low,7.020267976268281e-08,45.0,10.470463256835938
1249411,32.48100655589711,Low,0.009470636657132592,19.8,2.780841522216797
1332721,32.480868406992144,Low,0.0030626467336514517,8.8,73.38104133605957
367910,32.48082273242812,Low,0.0019767722402801373,16.2,76.03678497314453
620567,32.480787345925684,Low,1.3896804970087076e-06,27.0,82.10804962158203
1321563,32.48056567835197,Low,0.006287401338972258,8.4,8.969227294921875
302031,32.48015758747067,Low,0.00840529072368022,18.400000000000002,2.5227003479003907
294065,32.47994290935708,Low,0.007906721058385226,23.0,2.270899887084961
595564,32.47987797201425,Low,0.001427104778451445,14.0,79.1403091430664
55197,32.479783790830076,Low,0.008470090836303085,33.800000000000004,1.882342987060547
209257,32.479769687129334,Low,0.0017480812658519941,21.0,72.31436386108399
505218,32.47955972167362,Low,0.0014794032912455585,17.0,71.82235832214356
57826,32.4793959258085,Low,0.0017225481414996785,31.6,71.49899005889893
1141173,32.4792280382011,Low,0.007294101397227686,16.2,3.6996697998046875
1144665,32.47920778355996,Low,0.005721284327125759,3.4000000000000004,4.917629699707032
684805,32.478892411927156,Low,0.0,8.4,82.57358978271485
660842,32.47888158781764,Low,0.006351733755296726,5.2,71.92173446655273
624632,32.47821503858553,Low,0.0008193457739855215,11.8,78.94396697998047
928495,32.47808542026791,Moderate,0.014787712507910519,9.600000000000001,2.8949365997314453
192788,32.47778073119507,Low,0.00668267343588038,18.8,74.06123947143554
18167,32.47752104941606,Low,0.0067475204717421045,19.0,1.217270050048828
468138,32.47732810441869,Low,0.0010437345771199277,17.400000000000002,71.19146877288819
1178025,32.47724567779228,Low,0.006516641937695834,10.4,4.082630310058594
18340,32.47723251167072,Low,0.005568608561095707,25.200000000000003,1.1589522171020508
1216816,32.476853566141315,Low,0.0030665585698660767,15.600000000000001,73.08084655761719
103938,32.47659793025237,Low,0.006331573288704806,27.6,1.277969398498535
682888,32.47632929596381,Low,0.0006171958349920747,7.0,83.95650390625
307156,32.47595224829584,Low,0.006020091001827428,35.4,2.271255569458008
1115846,32.47581969566568,Low,0.009220673357970806,7.6000000000000005,4.378282470703125
282959,32.47547361919169,Low,0.008367150585044884,13.4,1.8732418441772463
532974,32.47525436304533,Low,0.007143766052672662,8.4,1.43083740234375
334152,32.474678503403204,Low,0.00656539336266917,18.400000000000002,4.015576171875
553810,32.474133993343166,Low,0.0015565139645156263,9.8,72.56662345886231
640644,32.47366842595645,Low,0.002275571524013158,12.600000000000001,71.37017478942872
966593,32.47347635136124,Low,0.0030031111128798146,32.800000000000004,72.87716850280762
98274,32.47312194031549,Low,0.004194061428295054,10.0,72.34726127624512
684809,32.47293330929324,Low,2.297039923434384e-06,6.2,83.08292419433593
1136106,32.47267247924233,Low,0.007249460897812614,5.0,5.0956027221679685
1334793,32.472659775623434,Low,0.002080666380630739,14.0,72.30526329040528
56982,32.472392732811244,Low,0.0020544177272332005,11.4,71.5502339553833
1032602,32.4723528296904,Low,0.006880731367193708,14.600000000000001,3.7202730560302735
124243,32.47232725595984,Low,0.004962365177035629,25.8,1.6729529571533204
440831,32.47190006176194,Low,0.0034832361950918075,15.600000000000001,75.96239288330078
276276,32.47164528471621,Moderate,0.010472749383321439,11.0,1.9428680419921875
1223221,32.4713337484055,Low,0.003648434465178567,16.0,74.58218185424805
220442,32.47101986872637,Low,0.005167353558995247,66.8,1.9935067749023436
66360,32.47078678540592,Low,0.003790861512605572,27.6,1.0849723434448242
480668,32.4705533911632,Low,0.00197251207789827,15.8,71.4053016281128
208360,32.4705119748137,Low,0.004198170051198422,13.8,72.51440612792969
468828,32.470442089201924,Low,0.0004959355456743385,11.8,73.26461853027344
290492,32.4702650373355,Low,0.007247710955849211,39.400000000000006,1.5048854827880858
695446,32.47026354817283,Low,6.993013473590187e-06,15.200000000000001,82.8930731201172
206349,32.470175615975165,Low,0.002744461057746918,22.8,73.13020561218262
1104586,32.47000399030141,Low,0.004447555136672805,11.600000000000001,73.65371719360351
323072,32.469854645231045,Low,0.006169325264951535,12.8,3.0641070556640626
892005,32.469707640895486,Low,0.00016967115373108614,15.8,78.53344635009766
597093,32.46956427448043,Low,0.004180058883694031,10.0,74.50147720336913
964968,32.46952463592277,Low,0.002322919965713871,27.200000000000003,72.46122863769531
931925,32.46902276441212,Low,0.0017484976199632011,14.200000000000001,71.81848495483399
525387,32.46898524185973,Low,0.0015966825958750833,29.0,1.013602523803711
552,32.46878782069742,Low,0.006513777064012249,13.600000000000001,2.398866806030273
324908,32.46864908767898,Low,0.0019652765543550473,26.200000000000003,72.26493797302246
564071,32.46823584761521,Low,0.00042100465170663055,10.0,83.38640411376953
605557,32.46789310667412,Low,0.0,27.0,82.1044580078125
311223,32.4675142207481,Low,0.0012708921893435903,21.8,72.16647758483887
684812,32.46718261562819,Low,8.741980789362376e-07,7.2,83.05625854492187
463902,32.467147652814006,Low,0.0073810893831198305,24.0,0.9716342926025391
199176,32.466921283880886,Low,0.0013068042431668633,23.200000000000003,72.61174087524414
316711,32.46670461376274,Low,0.005000301271581829,16.0,1.7148532104492187
1352540,32.466112785869996,Low,0.005289017048153294,7.0,74.74906829833985
320719,32.46521459202092,Low,0.002866218169735148,19.8,72.02270271301269
1210898,32.46510094538978,Low,0.002629016029294023,13.200000000000001,74.1117399597168
1179252,32.4648873842858,Low,0.005949233857338599,17.6,73.9451222229004
138856,32.46450997401492,Low,0.0042532862222167235,16.400000000000002,1.234339141845703
530391,32.464404282749456,Low,5.316147616543368e-05,7.800000000000001,82.53439514160156
882647,32.46425123551884,Low,0.00446081626014114,13.8,8.729804077148437
1045156,32.46422340694593,Moderate,0.01385864982695512,17.8,2.950613479614258
1198090,32.46399168385123,Low,0.0018049132473445249,12.600000000000001,73.70806060791016
693973,32.46393882629,Low,0.0005577559827910137,11.0,83.07783386230469
128854,32.463864943503424,Low,0.002892270725915597,25.200000000000003,2.371946182250977
1222636,32.46372027445501,Low,0.00778009695367734,18.400000000000002,3.5294849395751955
1366563,32.46369514425675,Low,0.0038159276037431143,13.0,72.58930770874024
965559,32.4636925578808,Low,0.004189434978235584,23.6,2.745945053100586
301502,32.46351080997432,Low,0.00311543501848055,21.8,72.13954940795898
626476,32.463499159899854,Low,0.00030451368318602833,9.8,79.32336151123047
309529,32.46316494401849,Low,0.00523849506705003,33.4,1.8231525421142578
303797,32.46314313910965,Low,0.0033751374230450064,40.400000000000006,2.317265396118164
104602,32.4627885182758,Low,0.0067085777846048935,14.200000000000001,3.189988861083984
88240,32.46220940381434,Low,0.0066842064602491745,25.8,1.3806792068481444
105038,32.461841303265615,Low,0.002111416850593734,8.200000000000001,74.84783401489258
963756,32.46179305362131,Low,0.002230318835550982,31.8,72.06797256469727
40201,32.46177547475743,Low,0.004694666919094842,14.4,73.25470474243164
143078,32.461762146151216,Low,0.004134122016318006,27.6,1.510158576965332
301874,32.46166788984613,Low,0.0071601737510031795,23.8,2.2853265380859376
1169449,32.46149965567924,Low,0.0016566955972688382,15.200000000000001,74.24812606811524
1213357,32.46134419651986,Low,0.006077368415349242,14.600000000000001,3.4240995025634766
285463,32.460939796559565,Moderate,0.012444586063062372,15.0,1.7121521759033203
631758,32.4607688192076,Low,0.00022960006031638377,9.4,79.41992584228515
196299,32.460168542300686,Low,0.0036735381574765874,17.6,72.52396125793457
235542,32.460123133226276,Low,0.007628747433048547,9.4,75.13648330688477
588640,32.4597318135721,Low,0.0020645426214491256,19.6,71.21963119506836
597490,32.45930713931914,Low,0.003853755661138476,6.800000000000001,75.30719757080078
477022,32.45924525557151,Low,0.008638470576018163,13.600000000000001,1.279333305358887
343779,32.458909939949834,Low,0.005057852051406457,14.0,2.501524200439453
1202801,32.45884868491589,Low,0.008608407403923258,7.2,4.089356689453124
652488,32.4584788578054,Low,5.1682588800783565e-06,9.600000000000001,71.20506790161133
367710,32.45766981103424,Low,0.002191783598723728,15.4,76.7940281677246
274965,32.45745276061341,Low,0.0025792777336850355,27.8,72.02772094726562
613289,32.45731899552317,Low,1.800967521906773e-05,14.200000000000001,82.21813903808594
281069,32.45720176733852,Low,0.007581808303288702,24.8,1.6491532516479492
691808,32.45671306976434,Low,0.0,19.8,84.1009585571289
68309,32.45653409267531,Low,0.0034804606847666786,7.6000000000000005,72.49276969909668
136546,32.45634756724944,Low,0.0024261410091598427,15.600000000000001,73.57223114013672
575480,32.45613052974839,Low,0.0021358301300275473,8.200000000000001,78.45555053710937
1220936,32.45597173509256,Low,0.0030557317724158707,22.8,73.23586456298828
203836,32.4557882721561,Low,0.008907887688698006,31.8,3.7239040374755863
90428,32.45562794347684,Low,0.0077791636374923015,14.600000000000001,3.9259057617187505
267965,32.45560972147244,Low,0.0035954388427841873,10.600000000000001,71.9097632598877
301870,32.45550069281342,Low,0.007177522664136835,22.400000000000002,2.3461656188964843
1139520,32.45523537582206,Low,0.00779529340185527,13.0,3.9586587524414063
586816,32.455006017396535,Low,0.0021085381031824366,10.200000000000001,2.220108947753906
1205843,32.45487449781065,Low,0.008433913125176462,14.200000000000001,2.8200389099121095
1147973,32.45478233046432,Moderate,0.015167591614648295,9.0,4.5375979614257815
294742,32.45380347464905,Moderate,0.012023037614560115,23.8,1.0039676284790038
331478,32.45346887293733,Moderate,0.010498867379966586,15.600000000000001,3.4853306579589844
545865,32.45317481898308,Low,0.0002292128172983425,19.8,71.88713382720947
108199,32.453125928289325,Low,0.0018450900685861534,12.4,74.30033584594726
1089625,32.452955502235916,Low,0.0034731755880019898,12.4,74.0531072998047
30602,32.45293903690184,Low,0.006483532468846191,5.4,73.64366813659667
300205,32.45264759256313,Low,0.007860435691884191,21.200000000000003,1.29147159576416
